Ano,Aquicultura,Pesca
1950,638457,19245255.9
1951,765080,21696121.7
1952,875494,23657445
1953,1012372,24078326
1954,1147499,25989682.14
1955,1289958,27512852
1956,1292370,29183728
1957,1689338,29378377
1958,1638203,30048820
1959,1892833,32371590
1960,2029179,34757007
1961,1948048,38600431
1962,2014404,42025217
1963,2247676,42976264.1
1964,2402677,47592588.1
1965,2604353,48652260.4
1966,2791746,52563798.8
1967,2915674,56007262
1968,3092313,59330390
1969,3238166,57900440
1970,3526017,63866836
1971,3930472,63912222
1972,4280803,59675324
1973,4504942,60236051
1974,4941524,63471572
1975,5219603,62942692
1976,5408491,66330563
1977,6282015,65082036
1978,6593363,67116536
1979,6714748,67584465.5
1980,7347225,68259957
1981,7818586,70308750.03
1982,8213439,72121337.74
1983,9089265,71950505.38
1984,10191481.45,77658061.41
1985,11354348.65,79371901.45
1986,12670909.1,84926387.92
1987,13971504.23,85582115.51
1988,15531104.96,89058973.23
1989,16482942.07,89584164.96
1990,16840105.04,86012251.41
1991,18305028.6,84900095.26
1992,21211488.89,86388626.71
1993,24467925.05,87725294.81
1994,27798479.01,93343056.18
1995,31232256.19,93675065.98
1996,33790684.14,95130374.23
1997,34296276.7,94437791.81
1998,36463874.11,86841676.96
1999,39604752.61,92795974.53
2000,41724569.75,94752231.7
2001,44324712.72,91961171.44
2002,47374984.71,92270914.59
2003,50271307.71,89545510.5
2004,54570595.89,94163077.32
2005,57820603.42,93684541.79
2006,61592068.53,91335783.26
2007,64937409.96,91880332.42
2008,68798958.7,91406474.55
2009,73045920.53,91306392.42
2010,78029001.86,90194075
2011,82649339.3,94795007.75
2012,90049124.01,92435402.66
2013,97162045.17,93958945.83
2014,101139071.9,94645128.86
